County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Day County, South Dakota, 46037, 5618, 39216, 3670, 81100, 1845, 634, 1211
Deuel County, South Dakota, 46039, 4341, 53152, 2223, 112000, 1575, 827, 748
Dewey County, South Dakota, 46041, 5579, 37206, 1996, 60100, 959, 309, 650
Douglas County, South Dakota, 46043, 2973, 52500, 1434, 73000, 1018, 380, 638
Edmunds County, South Dakota, 46045, 4018, 56000, 1911, 111200, 1297, 555, 742
Fall River County, South Dakota, 46047, 6906, 45997, 4171, 102800, 2193, 928, 1265
Faulk County, South Dakota, 46049, 2359, 43679, 1180, 78600, 732, 221, 511
Grant County, South Dakota, 46051, 7227, 51272, 3543, 107900, 2523, 1328, 1195
Gregory County, South Dakota, 46053, 4226, 37540, 2503, 61200, 1356, 463, 893
Haakon County, South Dakota, 46055, 2083, 41518, 1033, 76800, 671, 246, 425
Hamlin County, South Dakota, 46057, 5982, 58602, 2802, 112100, 1740, 969, 771
Hand County, South Dakota, 46059, 3375, 47163, 1831, 96100, 1063, 403, 660
Hanson County, South Dakota, 46061, 3386, 60741, 1175, 110100, 880, 406, 474
Harding County, South Dakota, 46063, 1328, 52396, 682, 87200, 369, 124, 245
Hughes County, South Dakota, 46065, 17466, 59177, 7758, 167800, 4698, 2733, 1965
Hutchinson County, South Dakota, 46067, 7226, 45075, 3353, 72000, 2213, 742, 1471
Hyde County, South Dakota, 46069, 1413, 51776, 686, 76400, 446, 145, 301
Jackson County, South Dakota, 46071, 3237, 45074, 1234, 57800, 635, 166, 469
Jerauld County, South Dakota, 46073, 2031, 53125, 1038, 81600, 653, 281, 372
Jones County, South Dakota, 46075, 781, 35972, 544, 58300, 292, 80, 212
Kingsbury County, South Dakota, 46077, 5107, 53828, 2718, 88800, 1757, 742, 1015
Lake County, South Dakota, 46079, 12086, 54535, 5619, 139800, 3500, 1793, 1707
Lawrence County, South Dakota, 46081, 24645, 45548, 13183, 180100, 7038, 3799, 3239
Lincoln County, South Dakota, 46083, 49874, 76094, 18781, 193600, 14138, 10571, 3567
Lyman County, South Dakota, 46085, 3837, 43030, 1717, 70300, 1009, 367, 642
McCook County, South Dakota, 46087, 5613, 56954, 2501, 109500, 1756, 850, 906
McPherson County, South Dakota, 46089, 2263, 36375, 1388, 57800, 751, 162, 589
Marshall County, South Dakota, 46091, 4701, 51788, 2555, 97400, 1274, 551, 723
Meade County, South Dakota, 46093, 26381, 52473, 11361, 162700, 7632, 4616, 3016
Mellette County, South Dakota, 46095, 2086, 30938, 817, 49100, 436, 94, 342
Miner County, South Dakota, 46097, 2306, 44938, 1258, 67000, 774, 299, 475
Minnehaha County, South Dakota, 46099, 178942, 53525, 74752, 155400, 44644, 31365, 13279
Moody County, South Dakota, 46101, 6439, 52446, 2824, 122900, 1917, 962, 955
Oglala Lakota County, South Dakota, 46102, 14153, 26369, 3578, 20400, 1545, 203, 1342
Pennington County, South Dakota, 46103, 106085, 50890, 46206, 159800, 27909, 17770, 10139
Perkins County, South Dakota, 46105, 2981, 39773, 1775, 65100, 937, 298, 639
Potter County, South Dakota, 46107, 2307, 46081, 1557, 75400, 856, 287, 569
Roberts County, South Dakota, 46109, 10318, 48614, 4921, 90900, 2573, 926, 1647
Sanborn County, South Dakota, 46111, 2339, 50541, 1221, 75800, 796, 287, 509
Spink County, South Dakota, 46115, 6570, 48217, 3140, 74200, 1934, 837, 1097
Stanley County, South Dakota, 46117, 2962, 56829, 1455, 124100, 1026, 542, 484
Sully County, South Dakota, 46119, 1469, 60417, 802, 94600, 431, 125, 306
Todd County, South Dakota, 46121, 9942, 31128, 3140, 43700, 1229, 303, 926
Tripp County, South Dakota, 46123, 5504, 37153, 3070, 71200, 1697, 622, 1075
Turner County, South Dakota, 46125, 8302, 53378, 3981, 99700, 2730, 1355, 1375
Union County, South Dakota, 46127, 14842, 64471, 6561, 159700, 4432, 2907, 1525
Walworth County, South Dakota, 46129, 5495, 43221, 2992, 76600, 1568, 599, 969
Yankton County, South Dakota, 46135, 22636, 48176, 9746, 128700, 6002, 3132, 2870
Ziebach County, South Dakota, 46137, 2833, 35119, 996, 65700, 431, 123, 308
Anderson County, Tennessee, 47001, 75430, 42880, 34767, 131200, 20901, 11123, 9778
Bedford County, Tennessee, 47003, 45986, 41984, 18519, 115700, 11401, 6959, 4442
Benton County, Tennessee, 47005, 16261, 33240, 8974, 86400, 5176, 2281, 2895
Bledsoe County, Tennessee, 47007, 13686, 37013, 5709, 115400, 3483, 1581, 1902
Blount County, Tennessee, 47009, 125188, 48286, 55744, 166500, 36197, 22015, 14182
Bradley County, Tennessee, 47011, 102062, 42114, 42258, 146200, 25108, 14873, 10235
Campbell County, Tennessee, 47013, 40176, 32028, 20256, 89400, 11185, 4890, 6295
Cannon County, Tennessee, 47015, 13787, 41533, 6057, 124200, 4060, 2232, 1828
Carroll County, Tennessee, 47017, 28353, 35508, 13211, 83500, 8284, 3934, 4350
Carter County, Tennessee, 47019, 56941, 33213, 27817, 108500, 16892, 7908, 8984
Cheatham County, Tennessee, 47021, 39422, 51857, 15797, 159100, 11513, 7808, 3705
Chester County, Tennessee, 47023, 17324, 40167, 7008, 108300, 4499, 2370, 2129
Claiborne County, Tennessee, 47025, 31748, 34899, 15001, 101500, 9142, 4171, 4971
Clay County, Tennessee, 47027, 7780, 28804, 4265, 94000, 2477, 891, 1586
Cocke County, Tennessee, 47029, 35321, 31187, 17387, 99500, 10115, 4330, 5785
Coffee County, Tennessee, 47031, 53448, 41590, 23529, 113100, 14290, 8133, 6157
Crockett County, Tennessee, 47033, 14600, 35464, 6406, 92000, 3752, 1931, 1821
Cumberland County, Tennessee, 47035, 57455, 38576, 28483, 139500, 19014, 9413, 9601
Davidson County, Tennessee, 47037, 658506, 48368, 290647, 169600, 143045, 101639, 41406
Decatur County, Tennessee, 47039, 11686, 37263, 6845, 90500, 3836, 1798, 2038
DeKalb County, Tennessee, 47041, 19038, 38319, 9427, 121800, 4925, 2467, 2458
Dickson County, Tennessee, 47043, 50472, 44680, 21030, 140300, 13388, 7885, 5503
Dyer County, Tennessee, 47045, 38054, 42468, 16772, 98800, 9603, 5595, 4008
Fayette County, Tennessee, 47047, 38814, 54890, 16092, 181700, 11869, 7519, 4350
Fentress County, Tennessee, 47049, 17931, 30259, 8928, 95300, 5644, 2381, 3263
Franklin County, Tennessee, 47051, 41138, 42773, 18900, 110700, 12054, 6158, 5896
Gibson County, Tennessee, 47053, 49572, 38457, 22286, 89200, 14046, 7850, 6196
Giles County, Tennessee, 47055, 28949, 41093, 13831, 108100, 8210, 3956, 4254
Grainger County, Tennessee, 47057, 22736, 35391, 10857, 96400, 7250, 3396, 3854
Greene County, Tennessee, 47059, 68576, 35196, 32104, 109700, 20059, 9763, 10296
Grundy County, Tennessee, 47061, 13524, 27373, 6376, 80400, 4052, 1785, 2267
Hamblen County, Tennessee, 47063, 62999, 37617, 27009, 124200, 16135, 8957, 7178
Hamilton County, Tennessee, 47065, 348121, 48248, 153730, 158600, 87922, 55457, 32465
Hancock County, Tennessee, 47067, 6642, 26898, 3606, 80400, 2104, 730, 1374
Hardeman County, Tennessee, 47069, 26253, 31801, 10865, 83000, 6254, 3126, 3128
Hardin County, Tennessee, 47071, 25900, 35290, 13975, 96900, 7666, 3810, 3856
Hawkins County, Tennessee, 47073, 56595, 36927, 26834, 108600, 17280, 8159, 9121
Haywood County, Tennessee, 47075, 18248, 34182, 8371, 99100, 4352, 2325, 2027
Henderson County, Tennessee, 47077, 28013, 38745, 12814, 92700, 7726, 3834, 3892
Henry County, Tennessee, 47079, 32269, 38234, 17007, 94300, 9987, 5250, 4737
Hickman County, Tennessee, 47081, 24283, 36334, 10281, 93800, 6793, 3800, 2993
Houston County, Tennessee, 47083, 8290, 39401, 4173, 94200, 2351, 1311, 1040
Humphreys County, Tennessee, 47085, 18240, 41949, 8888, 106400, 5613, 2955, 2658
Jackson County, Tennessee, 47087, 11496, 31534, 5820, 101400, 3549, 1694, 1855
Jefferson County, Tennessee, 47089, 52490, 42417, 23592, 128800, 14439, 7954, 6485
Johnson County, Tennessee, 47091, 18017, 30763, 8924, 110500, 5432, 2221, 3211
Knox County, Tennessee, 47093, 444348, 48701, 198119, 160700, 115584, 74161, 41423
Lake County, Tennessee, 47095, 7687, 30086, 2602, 71600, 1262, 656, 606
Lauderdale County, Tennessee, 47097, 27427, 30281, 11282, 81100, 5907, 3076, 2831
Lawrence County, Tennessee, 47099, 42226, 37814, 18146, 98600, 12059, 6325, 5734
Lewis County, Tennessee, 47101, 11944, 36621, 5454, 89600, 3733, 1746, 1987
Lincoln County, Tennessee, 47103, 33550, 40389, 15328, 109100, 9949, 5009, 4940
Loudon County, Tennessee, 47105, 50229, 51107, 22144, 178000, 15358, 8609, 6749
McMinn County, Tennessee, 47107, 52506, 38535, 23267, 113200, 14744, 7736, 7008
McNairy County, Tennessee, 47109, 26103, 32557, 11978, 85000, 7478, 3438, 4040
Macon County, Tennessee, 47111, 22761, 33509, 9942, 100700, 6230, 3263, 2967
Madison County, Tennessee, 47113, 98184, 42544, 42442, 117300, 23739, 14657, 9082
Marion County, Tennessee, 47115, 28306, 41348, 13019, 119100, 8366, 4503, 3863
Marshall County, Tennessee, 47117, 31159, 42661, 13233, 112300, 8715, 5019, 3696
Maury County, Tennessee, 47119, 84089, 47692, 35768, 140800, 22262, 14423, 7839
Meigs County, Tennessee, 47121, 11716, 34424, 5652, 99500, 3669, 1779, 1890
Monroe County, Tennessee, 47123, 45293, 35291, 20831, 113600, 12980, 6456, 6524
Montgomery County, Tennessee, 47125, 185980, 50344, 75280, 145900, 39171, 28442, 10729
Moore County, Tennessee, 47127, 6351, 49427, 2952, 152500, 2088, 1100, 988
Morgan County, Tennessee, 47129, 21794, 39049, 8902, 92900, 5965, 2958, 3007
Obion County, Tennessee, 47131, 31129, 40281, 14611, 87800, 8642, 4771, 3871
Overton County, Tennessee, 47133, 22100, 35287, 10263, 101300, 6908, 3001, 3907
Perry County, Tennessee, 47135, 7864, 31425, 4574, 79900, 2527, 1037, 1490
Pickett County, Tennessee, 47137, 5097, 36773, 3461, 106700, 1841, 829, 1012
Polk County, Tennessee, 47139, 16687, 38925, 8271, 109100, 5269, 2363, 2906
Putnam County, Tennessee, 47141, 73810, 35343, 32648, 144600, 18513, 10738, 7775
Rhea County, Tennessee, 47143, 32394, 36146, 14406, 106400, 8564, 4392, 4172
Roane County, Tennessee, 47145, 53162, 40854, 25604, 120000, 15888, 7409, 8479
Robertson County, Tennessee, 47147, 67426, 53151, 26352, 155800, 18665, 12361, 6304
Rutherford County, Tennessee, 47149, 282558, 56219, 107451, 160700, 66692, 49273, 17419
Scott County, Tennessee, 47151, 22043, 30246, 9872, 84700, 6064, 3125, 2939
Sequatchie County, Tennessee, 47153, 14592, 45408, 6384, 135700, 4160, 2004, 2156
Sevier County, Tennessee, 47155, 93617, 42258, 56241, 159000, 24420, 13973, 10447
Shelby County, Tennessee, 47157, 937750, 46224, 401715, 130800, 199014, 139170, 59844
Smith County, Tennessee, 47159, 19136, 43914, 8585, 114000, 5698, 3079, 2619
Stewart County, Tennessee, 47161, 13286, 42023, 6763, 123100, 4078, 2418, 1660
Sullivan County, Tennessee, 47163, 156752, 40346, 74004, 124900, 48856, 25925, 22931
Sumner County, Tennessee, 47165, 169623, 57382, 67504, 178000, 45012, 31376, 13636
Tipton County, Tennessee, 47167, 61674, 53669, 23385, 139600, 15563, 10717, 4846
Trousdale County, Tennessee, 47169, 7884, 41029, 3402, 129400, 2189, 1396, 793
Unicoi County, Tennessee, 47171, 18069, 33210, 8840, 106200, 5521, 2097, 3424
Union County, Tennessee, 47173, 19096, 37351, 9061, 106800, 5720, 2572, 3148
Van Buren County, Tennessee, 47175, 5596, 40439, 2658, 90700, 1810, 777, 1033
Warren County, Tennessee, 47177, 40015, 35376, 17825, 97700, 10804, 5183, 5621
Washington County, Tennessee, 47179, 125317, 42817, 58443, 145800, 34833, 20522, 14311
Wayne County, Tennessee, 47181, 16897, 30701, 7251, 82300, 4876, 2479, 2397
Weakley County, Tennessee, 47183, 34415, 37037, 15517, 94100, 9271, 4749, 4522
White County, Tennessee, 47185, 26252, 34901, 11572, 97900, 7660, 3926, 3734
Williamson County, Tennessee, 47187, 199456, 96565, 72301, 348600, 56296, 41458, 14838
Wilson County, Tennessee, 47189, 122445, 61070, 48065, 200300, 34643, 23734, 10909
Anderson County, Texas, 48001, 57915, 41327, 20134, 83000, 11791, 4952, 6839
Andrews County, Texas, 48003, 16775, 70423, 6013, 111600, 4090, 1868, 2222
Angelina County, Texas, 48005, 87748, 44223, 36070, 87100, 20178, 8691, 11487
Aransas County, Texas, 48007, 24292, 41690, 15614, 144000, 7040, 2506, 4534
Archer County, Texas, 48009, 8779, 60275, 4129, 107500, 2789, 1327, 1462
Armstrong County, Texas, 48011, 1943, 59737, 933, 106600, 543, 238, 305
Atascosa County, Texas, 48013, 47050, 52192, 17788, 91500, 11409, 5313, 6096
Austin County, Texas, 48015, 28886, 53687, 12978, 157000, 8156, 3603, 4553
Bailey County, Texas, 48017, 7126, 37397, 2787, 58300, 1659, 618, 1041
Bandera County, Texas, 48019, 20796, 49863, 11592, 146100, 6925, 3637, 3288
Bastrop County, Texas, 48021, 76948, 54821, 29522, 129500, 19874, 11058, 8816
Baylor County, Texas, 48023, 3628, 36373, 2695, 81400, 1380, 379, 1001
Bee County, Texas, 48025, 32659, 42302, 10651, 72900, 5417, 2049, 3368
Bell County, Texas, 48027, 326041, 50550, 131684, 127500, 60615, 38291, 22324
Bexar County, Texas, 48029, 1825502, 51150, 675208, 129400, 361851, 232549, 129302
Blanco County, Texas, 48031, 10723, 55504, 5622, 175000, 3138, 1623, 1515
Borden County, Texas, 48033, 705, 73750, 397, 83500, 177, 49, 128
Bosque County, Texas, 48035, 17971, 44674, 9641, 88800, 5418, 2387, 3031
Bowie County, Texas, 48037, 93155, 42670, 39008, 101800, 22053, 10659, 11394
Brazoria County, Texas, 48039, 331741, 69749, 124547, 152900, 80749, 49627, 31122
Brazos County, Texas, 48041, 205271, 39808, 81916, 160000, 33078, 20030, 13048
Brewster County, Texas, 48043, 9235, 38395, 5419, 112700, 2327, 848, 1479
Briscoe County, Texas, 48045, 1670, 38603, 985, 60000, 500, 131, 369
Brooks County, Texas, 48047, 7221, 22741, 3056, 52100, 1430, 355, 1075
Brown County, Texas, 48049, 37833, 41962, 18419, 90400, 9399, 3836, 5563
Burleson County, Texas, 48051, 17293, 51821, 8875, 93100, 5135, 1850, 3285
Burnet County, Texas, 48053, 44144, 49732, 21338, 158900, 12356, 6099, 6257
Caldwell County, Texas, 48055, 39347, 47233, 13864, 115300, 8204, 4375, 3829
Calhoun County, Texas, 48057, 21666, 51078, 11606, 102800, 5663, 2344, 3319
Callahan County, Texas, 48059, 13532, 40981, 6574, 74000, 4313, 1700, 2613
Cameron County, Texas, 48061, 417947, 33266, 145194, 79300, 80885, 35045, 45840
Camp County, Texas, 48063, 12516, 37851, 5675, 78100, 3017, 1246, 1771
Carson County, Texas, 48065, 6068, 66023, 2771, 93700, 2046, 958, 1088
Cass County, Texas, 48067, 30328, 37352, 14400, 81000, 8980, 3578, 5402
Castro County, Texas, 48069, 7948, 39459, 3178, 70600, 1751, 548, 1203
Chambers County, Texas, 48071, 37251, 70544, 14139, 151200, 10529, 6003, 4526
Cherokee County, Texas, 48073, 51167, 39595, 20956, 84500, 12712, 5176, 7536
Childress County, Texas, 48075, 7059, 36633, 3076, 73300, 1531, 740, 791
Clay County, Texas, 48077, 10479, 48297, 5136, 83600, 3461, 1418, 2043
Cochran County, Texas, 48079, 2993, 39113, 1363, 32300, 813, 177, 636
Coke County, Texas, 48081, 3238, 42467, 2667, 79000, 1125, 377, 748
Coleman County, Texas, 48083, 8536, 35156, 5526, 60000, 2325, 891, 1434
Collin County, Texas, 48085, 862215, 84735, 320429, 223400, 203314, 152497, 50817
Collingsworth County, Texas, 48087, 3058, 39743, 1476, 64200, 863, 316, 547
Colorado County, Texas, 48089, 20757, 46618, 10544, 109800, 6206, 2324, 3882
Comal County, Texas, 48091, 119632, 65833, 50288, 214400, 33372, 20236, 13136
Comanche County, Texas, 48093, 13623, 37470, 7242, 72100, 3904, 1235, 2669
Concho County, Texas, 48095, 4086, 48368, 1626, 86000, 638, 191, 447
Cooke County, Texas, 48097, 38761, 52406, 16661, 122700, 10151, 5204, 4947
Coryell County, Texas, 48099, 76128, 49340, 25847, 102700, 12483, 7493, 4990
Cottle County, Texas, 48101, 1510, 34955, 963, 42900, 453, 111, 342
Crane County, Texas, 48103, 4730, 58333, 1652, 75900, 1165, 433, 732
Crockett County, Texas, 48105, 3699, 53678, 1753, 79000, 1056, 397, 659
Crosby County, Texas, 48107, 6007, 37434, 2900, 53900, 1483, 539, 944
Culberson County, Texas, 48109, 2296, 35000, 1020, 60700, 564, 171, 393
Dallam County, Texas, 48111, 7014, 41345, 2880, 72800, 1373, 640, 733
Dallas County, Texas, 48113, 2485003, 50270, 964713, 132700, 451480, 293052, 158428
Dawson County, Texas, 48115, 13542, 41095, 5209, 62100, 3046, 1064, 1982
Deaf Smith County, Texas, 48117, 19245, 43373, 7064, 86700, 4214, 1884, 2330
Delta County, Texas, 48119, 5223, 42432, 2468, 73600, 1496, 619, 877
Denton County, Texas, 48121, 731851, 75050, 273765, 197600, 165668, 128676, 36992
DeWitt County, Texas, 48123, 20540, 49736, 9181, 98200, 5376, 1671, 3705
Dickens County, Texas, 48125, 2281, 39700, 1423, 49600, 657, 188, 469
Dimmit County, Texas, 48127, 10682, 36825, 4353, 58200, 2465, 654, 1811
Donley County, Texas, 48129, 3588, 36681, 2136, 59900, 999, 249, 750
Duval County, Texas, 48131, 11577, 33939, 5533, 52800, 2754, 522, 2232
Eastland County, Texas, 48133, 18328, 34888, 10259, 60100, 4922, 1484, 3438
Ector County, Texas, 48135, 149557, 57150, 55357, 103200, 33733, 15514, 18219
Edwards County, Texas, 48137, 1906, 41813, 1713, 70900, 674, 101, 573
Ellis County, Texas, 48139, 157058, 62465, 56353, 145400, 37889, 24291, 13598
El Paso County, Texas, 48141, 831095, 41637, 282616, 113900, 159647, 93256, 66391
Erath County, Texas, 48143, 40039, 41416, 17251, 121700, 8718, 4304, 4414
Falls County, Texas, 48145, 17410, 36079, 7725, 64900, 3970, 1241, 2729
Fannin County, Texas, 48147, 33748, 44071, 14199, 94600, 8916, 4233, 4683
Fayette County, Texas, 48149, 24849, 47808, 13854, 138100, 7437, 2707, 4730
Fisher County, Texas, 48151, 3858, 41406, 2166, 64900, 1183, 386, 797
Floyd County, Texas, 48153, 6178, 41026, 2999, 65300, 1628, 594, 1034
Foard County, Texas, 48155, 1197, 36477, 821, 55900, 398, 110, 288
Fort Bend County, Texas, 48157, 658331, 89152, 216616, 200200, 162261, 118037, 44224
Franklin County, Texas, 48159, 10599, 41537, 5779, 103200, 3095, 1270, 1825
Freestone County, Texas, 48161, 19586, 44301, 9286, 81400, 5605, 2449, 3156
Frio County, Texas, 48163, 18168, 36404, 5872, 68400, 3373, 1341, 2032
Gaines County, Texas, 48165, 18916, 57635, 6340, 92600, 4320, 1912, 2408
Galveston County, Texas, 48167, 308163, 62313, 138023, 155000, 76189, 46145, 30044
Garza County, Texas, 48169, 6410, 48508, 2040, 80600, 1027, 326, 701
Gillespie County, Texas, 48171, 25398, 54859, 12868, 238300, 8095, 3653, 4442
Glasscock County, Texas, 48173, 1180, 67303, 557, 190200, 287, 92, 195
Goliad County, Texas, 48175, 7410, 51226, 3719, 116300, 2441, 738, 1703
Gonzales County, Texas, 48177, 20172, 42983, 8790, 89200, 4538, 1716, 2822
Gray County, Texas, 48179, 22983, 43288, 10115, 74800, 6067, 2503, 3564
Grayson County, Texas, 48181, 122780, 47952, 54244, 107000, 31593, 16351, 15242
Gregg County, Texas, 48183, 123178, 47639, 50785, 124600, 27568, 14831, 12737
Grimes County, Texas, 48185, 26961, 46195, 10947, 105400, 6986, 2919, 4067
Guadalupe County, Texas, 48187, 143460, 62420, 53101, 163300, 37581, 23912, 13669
Hale County, Texas, 48189, 35504, 43375, 13507, 73400, 7024, 3092, 3932
Hall County, Texas, 48191, 3203, 30950, 1934, 36500, 785, 142, 643
Hamilton County, Texas, 48193, 8266, 42432, 4562, 96600, 2302, 871, 1431
Hansford County, Texas, 48195, 5559, 44219, 2333, 81300, 1487, 515, 972
Hardeman County, Texas, 48197, 3992, 37174, 2395, 45600, 1189, 386, 803
Hardin County, Texas, 48199, 55375, 52614, 23244, 101000, 16554, 6522, 10032
Harris County, Texas, 48201, 4356362, 54457, 1660235, 137800, 823646, 528758, 294888
Harrison County, Texas, 48203, 66417, 45974, 27954, 112700, 17505, 8052, 9453
Hartley County, Texas, 48205, 6121, 63004, 1976, 147300, 1156, 524, 632
Haskell County, Texas, 48207, 5853, 39850, 3434, 48200, 1751, 357, 1394
Hays County, Texas, 48209, 177562, 58583, 67463, 180900, 39185, 28008, 11177
Hemphill County, Texas, 48211, 4115, 62813, 1725, 123400, 1065, 308, 757
Henderson County, Texas, 48213, 79016, 41607, 39867, 91500, 22128, 10099, 12029
Hidalgo County, Texas, 48215, 819217, 34782, 258126, 79200, 152552, 68659, 83893
Hill County, Texas, 48217, 34923, 41382, 16134, 85000, 9318, 3870, 5448
Hockley County, Texas, 48219, 23322, 50665, 9290, 81600, 5504, 2632, 2872
Hood County, Texas, 48221, 53171, 56100, 25350, 153000, 16070, 8738, 7332
Hopkins County, Texas, 48223, 35645, 44396, 15142, 92800, 9431, 4193, 5238
Houston County, Texas, 48225, 22949, 32698, 11543, 76500, 5530, 1761, 3769
Howard County, Texas, 48227, 36105, 49575, 13116, 73800, 7538, 2895, 4643
Hudspeth County, Texas, 48229, 3330, 26384, 1533, 42600, 799, 156, 643
Hunt County, Texas, 48231, 88052, 45197, 36836, 94400, 21524, 11339, 10185
Hutchinson County, Texas, 48233, 21858, 49353, 10585, 73500, 6370, 2590, 3780
Irion County, Texas, 48235, 1644, 58500, 873, 104700, 507, 179, 328
Jack County, Texas, 48237, 8946, 50324, 4101, 76700, 2351, 801, 1550
Jackson County, Texas, 48239, 14486, 54926, 6591, 87600, 3822, 1713, 2109
Jasper County, Texas, 48241, 35768, 40820, 16868, 86500, 9439, 3208, 6231
Jeff Davis County, Texas, 48243, 2232, 50165, 1611, 93300, 772, 141, 631
Jefferson County, Texas, 48245, 252872, 43540, 106857, 97900, 58939, 26846, 32093
Jim Hogg County, Texas, 48247, 5239, 35521, 2519, 68500, 1319, 406, 913
Jim Wells County, Texas, 48249, 41461, 42986, 16206, 70100, 9448, 3303, 6145
Johnson County, Texas, 48251, 155450, 58135, 58451, 119200, 39484, 23389, 16095
Jones County, Texas, 48253, 19978, 43897, 7330, 69000, 4180, 1649, 2531
Karnes County, Texas, 48255, 14879, 45502, 5773, 87200, 3243, 915, 2328
Kaufman County, Texas, 48257, 109289, 60391, 38931, 134700, 27414, 17994, 9420
Kendall County, Texas, 48259, 37361, 73240, 14754, 281200, 9835, 6282, 3553
Kenedy County, Texas, 48261, 565, 36438, 247, 0, 47, 3, 44
Kent County, Texas, 48263, 821, 47024, 539, 72300, 259, 63, 196
Kerr County, Texas, 48265, 50149, 43810, 23977, 158200, 14150, 6388, 7762
Kimble County, Texas, 48267, 4486, 40125, 3351, 85400, 1477, 450, 1027
King County, Texas, 48269, 267, 63250, 159, 73000, 34, 4, 30
Kinney County, Texas, 48271, 3577, 38281, 1734, 72200, 855, 299, 556
Kleberg County, Texas, 48273, 32029, 38247, 12995, 80800, 5769, 2222, 3547
Knox County, Texas, 48275, 3796, 40493, 2041, 42900, 1044, 251, 793
Lamar County, Texas, 48277, 49566, 40748, 22558, 85900, 12420, 5724, 6696
Lamb County, Texas, 48279, 13742, 39851, 6103, 62000, 3395, 1234, 2161
Lampasas County, Texas, 48281, 20219, 49630, 8892, 133300, 5459, 2684, 2775
La Salle County, Texas, 48283, 7191, 37292, 2923, 70100, 1387, 250, 1137
Lavaca County, Texas, 48285, 19549, 48677, 10368, 119300, 6005, 2314, 3691
Lee County, Texas, 48287, 16664, 53902, 7569, 115800, 4469, 1768, 2701
Leon County, Texas, 48289, 16819, 49802, 9522, 102800, 5042, 1881, 3161
Liberty County, Texas, 48291, 77486, 48729, 29363, 87900, 19081, 8686, 10395
Limestone County, Texas, 48293, 23454, 37554, 10551, 83500, 6019, 2629, 3390
Lipscomb County, Texas, 48295, 3483, 63125, 1454, 93000, 855, 297, 558
Live Oak County, Texas, 48297, 11873, 50400, 6097, 86900, 2993, 1151, 1842
Llano County, Texas, 48299, 19323, 48259, 14665, 160600, 6752, 2758, 3994
Loving County, Texas, 48301, 117, 0, 73, 92500, 22, 7, 15
Lubbock County, Texas, 48303, 290782, 46075, 119565, 112600, 61164, 35099, 26065
Lynn County, Texas, 48305, 5764, 39526, 2668, 69900, 1581, 632, 949
McCulloch County, Texas, 48307, 8273, 40561, 4284, 67500, 2468, 790, 1678
McLennan County, Texas, 48309, 241505, 42687, 96935, 114700, 50850, 28107, 22743
McMullen County, Texas, 48311, 778, 46250, 454, 69300, 218, 57, 161
Madison County, Texas, 48313, 13838, 39390, 5162, 103100, 2760, 1165, 1595
Marion County, Texas, 48315, 10248, 34175, 6236, 85500, 3386, 1255, 2131
Martin County, Texas, 48317, 5252, 55682, 1886, 99400, 1231, 472, 759
Mason County, Texas, 48319, 4066, 37654, 2752, 154800, 1348, 395, 953
Matagorda County, Texas, 48321, 36598, 40797, 18985, 93700, 9070, 3382, 5688
Maverick County, Texas, 48323, 56548, 33747, 17929, 88700, 11224, 4960, 6264
Medina County, Texas, 48325, 47392, 57338, 18070, 125100, 12147, 6064, 6083
Menard County, Texas, 48327, 2182, 34464, 1725, 56200, 677, 239, 438
Midland County, Texas, 48329, 151290, 68806, 56735, 166700, 35449, 19699, 15750
Milam County, Texas, 48331, 24344, 38929, 11324, 80600, 6151, 2377, 3774
Mills County, Texas, 48333, 4875, 43920, 2845, 120100, 1507, 525, 982
Mitchell County, Texas, 48335, 9169, 49870, 4055, 48500, 1934, 687, 1247
Montague County, Texas, 48337, 19478, 46172, 10140, 96000, 5894, 2577, 3317
Montgomery County, Texas, 48339, 502586, 68838, 190571, 176900, 124410, 81004, 43406
Moore County, Texas, 48341, 22281, 49802, 7951, 93000, 4650, 1990, 2660
Morris County, Texas, 48343, 12700, 39453, 6019, 69300, 3573, 1292, 2281
Motley County, Texas, 48345, 1071, 31683, 745, 53100, 320, 78, 242
Nacogdoches County, Texas, 48347, 65531, 39538, 27858, 110400, 13310, 5873, 7437
Navarro County, Texas, 48349, 48118, 41505, 20431, 81300, 11624, 5433, 6191
Newton County, Texas, 48351, 14231, 38144, 7147, 74900, 3694, 989, 2705
Nolan County, Texas, 48353, 15061, 37102, 7123, 57200, 3767, 1262, 2505
Nueces County, Texas, 48355, 352060, 50337, 144416, 113200, 72680, 39837, 32843
Ochiltree County, Texas, 48357, 10642, 51517, 4049, 84200, 2695, 992, 1703
Oldham County, Texas, 48359, 2071, 50893, 835, 87100, 487, 216, 271
Orange County, Texas, 48361, 83217, 49763, 35952, 97800, 24507, 10066, 14441
Palo Pinto County, Texas, 48363, 27921, 39516, 15296, 82800, 7195, 2643, 4552
Panola County, Texas, 48365, 23900, 50119, 10968, 91800, 6922, 2744, 4178
Parker County, Texas, 48367, 121418, 67288, 47437, 161800, 33261, 20391, 12870
Parmer County, Texas, 48369, 10004, 45326, 3807, 86400, 2200, 919, 1281
Pecos County, Texas, 48371, 15807, 50305, 5592, 68800, 3044, 1071, 1973
